Area code,Area,Year,Series,Tourism arrivals series type,Value,Source
40,Austria,2010,Tourist/visitor arrivals (thousands),TCE,22004,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
40,Austria,2019,Tourist/visitor arrivals (thousands),TCE,31884,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
40,Austria,2020,Tourist/visitor arrivals (thousands),TCE,15091,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
40,Austria,2021,Tourist/visitor arrivals (thousands),TCE,12728,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
40,Austria,1995,Tourism expenditure (millions of US dollars),,13435,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
40,Austria,2005,Tourism expenditure (millions of US dollars),,16243,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
40,Austria,2010,Tourism expenditure (millions of US dollars),,18751,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
40,Austria,2019,Tourism expenditure (millions of US dollars),,22983,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
40,Austria,2020,Tourism expenditure (millions of US dollars),,13706,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
40,Austria,2021,Tourism expenditure (millions of US dollars),,9841,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
31,Azerbaijan,2005,Tourist/visitor arrivals (thousands),TF,693,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
31,Azerbaijan,2010,Tourist/visitor arrivals (thousands),TF,1280,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
31,Azerbaijan,2019,Tourist/visitor arrivals (thousands),TF,2876,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
31,Azerbaijan,2020,Tourist/visitor arrivals (thousands),TF,587,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
