Area code,Area,Year,Series,Value,Source
19,Americas,2005,Net official development assistance received: Bilateral  (millions of US dollars),4328.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
19,Americas,2010,Net official development assistance received: Bilateral  (millions of US dollars),6856.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
19,Americas,2015,Net official development assistance received: Bilateral  (millions of US dollars),8184.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
19,Americas,2019,Net official development assistance received: Bilateral  (millions of US dollars),6265.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
19,Americas,2020,Net official development assistance received: Bilateral  (millions of US dollars),9106.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
19,Americas,2021,Net official development assistance received: Bilateral  (millions of US dollars),8978.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
19,Americas,1985,Net official development assistance received: Multilateral (millions of US dollars),398.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
19,Americas,1995,Net official development assistance received: Multilateral (millions of US dollars),935.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
19,Americas,2005,Net official development assistance received: Multilateral (millions of US dollars),2106.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
19,Americas,2010,Net official development assistance received: Multilateral (millions of US dollars),2854.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
19,Americas,2015,Net official development assistance received: Multilateral (millions of US dollars),2027.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
19,Americas,2019,Net official development assistance received: Multilateral (millions of US dollars),2539.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
19,Americas,2020,Net official development assistance received: Multilateral (millions of US dollars),3294.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
19,Americas,2021,Net official development assistance received: Multilateral (millions of US dollars),3074.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
19,Americas,1985,Net official development assistance received: Total (millions of US dollars),3062.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
19,Americas,1995,Net official development assistance received: Total (millions of US dollars),6184.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
19,Americas,2005,Net official development assistance received: Total (millions of US dollars),6434.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
